Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
27.9667,-110.8167,2,191.93,0.22,0.61,85.12,6.9,2.14,0.24
20.3,-102.7167,2,257.02,1.82,5.01,71.53,9.11,7.94,1.85
17.6333,-101.55,2,327.11,0.88,4.41,67.23,13.9,12.18,2.15
39.6412,-85.1411,2,260.35,1.87,9.34,65.8,5.4,4.81,0.66
12.0564,-61.7485,1,260.35,0.1,1.06,30.76,1.4,0.5,0.5
40.6298,-91.3151,2,233.65,1.16,2.16,83.69,2.82,2.61,0.83
39.7084,-91.3585,2,226.97,0.93,2.74,83.69,1.21,1.05,0.53
41.6573,-87.6801,2,300.41,1.49,23.31,74.39,7.16,4.39,6.44
40.4279,-74.416,1,290.39,0.92,20.05,55.08,3.81,2.22,0.6
26.6254,-81.6248,3,220.3,0.36,1.31,101.57,11.97,6.47,0.45
35.442,-97.4409,3,240.33,0.96,6.51,103.0,4.55,4.09,2.56
42.5278,-92.4455,2,223.64,1.38,1.5,94.41,3.3,3.0,2.03
18.1333,-94.1333,2,198.6,0.43,0.16,82.97,2.01,1.53,0.17
17.5167,-91.9667,1,233.65,0.58,2.31,14.13,1.2,1.06,0.1
18.6667,-99.4667,3,260.35,0.21,0.91,113.01,16.45,14.08,4.23
38.9536,-94.7336,2,230.31,0.95,4.37,92.98,3.28,2.77,1.7
37.9063,-122.065,3,226.97,0.62,5.83,103.0,3.84,2.99,4.17
29.7675,-95.2338,3,327.11,1.5,28.45,105.86,10.0,8.7,12.52
32.4285,-90.1323,2,240.33,1.09,4.24,74.39,4.42,3.77,0.98
29.2108,-81.0228,2,211.95,0.14,1.52,87.98,5.98,1.99,0.83
22.1,-103.2667,1,191.93,0.36,0.14,58.65,2.91,2.59,0.09
44.2619,-88.4154,2,230.31,1.19,3.09,84.4,3.09,2.82,0.66
26.4189,-108.6194,2,208.62,0.36,0.53,77.25,5.42,4.3,0.57
31.9216,35.2033,1,210.29,0.48,8.05,54.36,6.32,4.0,1.04
35.4495,-97.3967,3,226.97,0.78,3.56,101.57,3.66,3.28,1.82
34.1065,-84.0335,2,233.65,2.28,4.88,77.96,4.97,3.21,0.57
28.5383,-81.3792,2,233.65,0.44,9.43,82.97,6.91,2.19,1.22
51.2079,-2.649,1,205.28,1.2,5.31,55.79,3.33,1.33,0.58
42.6667,-83.3999,2,273.71,0.73,8.48,82.97,5.85,4.63,1.57
40.5982,-124.1573,2,216.96,0.04,0.49,77.25,1.06,0.5,0.28
20.5,-99.0,2,170.23,0.16,0.44,76.53,1.43,1.32,0.43
39.4196,-76.7803,2,240.33,1.01,4.93,77.25,2.29,1.6,0.46
45.5834,-62.6486,2,223.64,0.21,2.55,62.94,0.66,0.5,0.12
37.5645,-97.3523,3,223.64,0.95,2.25,108.72,4.56,4.09,1.54
33.8314,-118.0728,3,317.1,1.19,26.39,117.3,18.04,13.05,12.64
19.1797,-99.4706,3,290.39,0.97,5.74,110.15,12.63,10.24,6.26
41.6303,-87.8539,2,270.37,1.09,21.08,77.25,5.27,3.58,11.21
19.7978,-99.1017,2,205.28,0.54,9.17,75.1,5.17,3.97,41.01
